[Description]
Title: Bones
Artist: Imagine Dragons

[Audio]
BPM: 120
Offset: 1500
Signature: 4/4

[Note]
5205, 0, 0
7231, 0, 4
9301, 0, 1
11434, 0, 3
13589, 0, 0
15679, 0, 4
17770, 0, 1
19839, 0, 3
21909, 0, 0
21909, 0, 4
22975, 0, 1
22997, 0, 3
24085, 0, 0
24085, 0, 4
25130, 0, 1
25130, 0, 3
26218, 0, 0
26218, 0, 4
27221, 0, 1
27221, 0, 3
28223, 0, 0
28223, 0, 4
28650, 0, 1
28650, 0, 3
29269, 0, 2
30357, 0, 0
30655, 0, 4
30911, 0, 1
31146, 0, 3
31487, 0, 2
32533, 0, 0
32789, 0, 4
33023, 0, 1
33237, 0, 3
33557, 0, 2
34602, 0, 0
34858, 0, 4
35114, 0, 1
35327, 0, 3
35647, 0, 2
36714, 0, 0
36927, 0, 4
37205, 0, 1
37418, 0, 3
37695, 0, 2
37973, 0, 0
37973, 0, 4
38250, 0, 1
38250, 0, 3
38933, 0, 0
39167, 0, 4
39487, 0, 1
39701, 0, 3
39935, 0, 2
40981, 0, 0
41215, 0, 4
41450, 0, 1
41706, 0, 3
41941, 0, 2
43029, 0, 0
43242, 0, 4
43498, 0, 1
43733, 0, 3
44053, 0, 2
45098, 0, 0
45354, 0, 4
45610, 0, 1
45866, 0, 3
46122, 0, 2
46421, 0, 0
46442, 0, 4
46698, 0, 1
46698, 0, 3
47253, 0, 0
49365, 0, 4
51455, 0, 1
53482, 0, 3
55679, 0, 0
57727, 0, 4
59797, 0, 1
61973, 0, 3
64149, 0, 0
64149, 0, 4
65151, 0, 1
65151, 0, 3
66175, 0, 0
66175, 0, 4
67178, 0, 1
67178, 0, 3
68223, 0, 0
68223, 0, 4
69290, 0, 1
69290, 0, 3
70335, 0, 0
70335, 0, 4
70719, 0, 1
70741, 0, 3
71231, 0, 2
72469, 0, 4
72703, 0, 0
73002, 0, 3
73237, 0, 1
73535, 0, 2
74602, 0, 4
74901, 0, 0
75157, 0, 3
75370, 0, 1
75669, 0, 2
76714, 0, 4
76949, 0, 0
77205, 0, 3
77439, 0, 1
77717, 0, 2
78805, 0, 4
79082, 0, 0
79338, 0, 3
79573, 0, 1
79850, 0, 2
80106, 0, 0
80106, 0, 4
80383, 0, 1
80383, 0, 3
80938, 0, 4
81194, 0, 0
81450, 0, 3
81663, 0, 1
81962, 0, 2
83071, 0, 4
83306, 0, 0
83541, 0, 3
83775, 0, 1
84074, 0, 2
85141, 0, 4
85375, 0, 0
85631, 0, 3
85887, 0, 1
86165, 0, 2
87210, 0, 4
87466, 0, 0
87722, 0, 3
87978, 0, 1
88255, 0, 2
88533, 0, 0
88533, 0, 4
88831, 0, 1
88831, 0, 3
89386, 0, 0
91413, 0, 4
93546, 0, 1
95231, 0, 3
97813, 0, 0
